AccessionNumber,Country,City,Species,lat,lon
MF197745.1 ,Poland, Kuyavia-Pomerania,Lyssavirus rabies,53.3220016,18.3392939
MF197744.1 ,Poland, Pomerania,Lyssavirus rabies,54.24556,18.1099
OQ410154.1 ,USA," Boulder, CO",Lyssavirus rabies,40.0149856,-105.270545
MK540940.1 ,Canada, Ontario,Lyssavirus rabies,50.000678,-86.000977
MK540976.1 ,Canada, Ontario,Lyssavirus rabies,50.000678,-86.000977
AB699220.1 ,Bangladesh, Narayanganj,Lyssavirus rabies,23.6236732,90.4988075
MN233909.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233912.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233919.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233964.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233971.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233982.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
MN234013.1 ,Canada, Ontario,Lyssavirus rabies,50.000678,-86.000977
MK540924.1 ,Canada, Ontario,Lyssavirus rabies,50.000678,-86.000977
MK541004.1 ,Canada, Ontario,Lyssavirus rabies,50.000678,-86.000977
MK541009.1 ,Canada, Ontario,Lyssavirus rabies,50.000678,-86.000977
OQ410145.1 ,USA," Olsted, MN",Lyssavirus rabies,46.25024,-94.25055
OQ410146.1 ,USA," Anoka, MN",Lyssavirus rabies,45.2710195,-93.2827625
OQ410149.1 ,USA, MN,Lyssavirus rabies,45.9896587,-94.6113288
OQ410150.1 ,USA," Saint Louis, MN",Lyssavirus rabies,47.6201005,-92.4363343
OQ410151.1 ,USA," Itasca, MN",Lyssavirus rabies,47.4968343,-93.6225663
OQ410152.1 ,USA," La Plata, CO",Lyssavirus rabies,37.2889732,-107.8539029
OQ410153.1 ,USA," Mesa, CO",Lyssavirus rabies,39.0589084,-108.565996
MN418166.1 ,USA," Altona, NY",Lyssavirus rabies,44.888472,-73.655777
MN233898.1 ,USA, Alaska,Lyssavirus rabies,64.4459613,-149.680909
MN233899.1 ,USA, Alaska,Lyssavirus rabies,64.4459613,-149.680909
MN233900.1 ,USA, Alaska,Lyssavirus rabies,64.4459613,-149.680909
MN233901.1 ,USA, Alaska,Lyssavirus rabies,64.4459613,-149.680909
MN233902.1 ,USA, Alaska,Lyssavirus rabies,64.4459613,-149.680909
MN233903.1 ,Canada, Manitoba,Lyssavirus rabies,55.001251,-97.001038
MN233904.1 ,Canada, Manitoba,Lyssavirus rabies,55.001251,-97.001038
MN233905.1 ,Canada, Manitoba,Lyssavirus rabies,55.001251,-97.001038
MN233906.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233907.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233908.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233910.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233911.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233913.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233914.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233915.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233916.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233917.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233918.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233920.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233921.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233922.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233923.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233924.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233925.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233926.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233927.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233928.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233929.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233930.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233931.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233932.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233933.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233934.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233935.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233936.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233937.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233938.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233939.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233940.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233941.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233942.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233943.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233944.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233945.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233946.1 ,Canada, Newfoundland and Labrador,Lyssavirus rabies,53.8217327,-61.2295532
MN233947.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233948.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233949.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233950.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233951.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233952.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233953.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233954.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233955.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233956.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233957.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233958.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233959.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233960.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233961.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233962.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233963.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233965.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233966.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233967.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233968.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233969.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233970.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233972.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233973.1 ,Canada, Northern Territories,Lyssavirus rabies,61.3521936,-117.652164
MN233974.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
MN233975.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
MN233976.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
MN233977.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
MN233978.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
MN233979.1 ,Canada, Nunavut,Lyssavirus rabies,65.0377727,-92.5540791
