AccessionNumber,Geo_location,Host,Species
MF197745.1 ,Poland: Kuyavia-Pomerania,Eptesicus serotinus,Lyssavirus rabies
MF197744.1 ,Poland: Pomerania,Eptesicus serotinus,Lyssavirus rabies
OQ410154.1 ,"USA: Boulder, CO",Lasionycteris noctivagans,Lyssavirus rabies
MK540940.1 ,Canada: Ontario,Mephitidae,Lyssavirus rabies
MK540976.1 ,Canada: Ontario,Mephitidae,Lyssavirus rabies
AB699220.1 ,Bangladesh: Narayanganj,Capra hircus,Lyssavirus rabies
MN233909.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233912.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233919.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233964.1 ,Canada: Northern Territories,Canis lupus familiaris,Lyssavirus rabies
MN233971.1 ,Canada: Northern Territories,Canis lupus familiaris,Lyssavirus rabies
MN233982.1 ,Canada: Nunavut,Vulpes lagopus,Lyssavirus rabies
MN234013.1 ,Canada: Ontario,Vulpes lagopus,Lyssavirus rabies
MK540924.1 ,Canada: Ontario,Mephitidae,Lyssavirus rabies
MK541004.1 ,Canada: Ontario,Vulpes vulpes,Lyssavirus rabies
MK541009.1 ,Canada: Ontario,Mephitidae,Lyssavirus rabies
OQ410145.1 ,"USA: Olsted, MN",Eptesicus fuscus,Lyssavirus rabies
OQ410146.1 ,"USA: Anoka, MN",Lasionycteris noctivagans,Lyssavirus rabies
OQ410149.1 ,USA: MN,Lasionycteris noctivagans,Lyssavirus rabies
OQ410150.1 ,"USA: Saint Louis, MN",Lasionycteris noctivagans,Lyssavirus rabies
OQ410151.1 ,"USA: Itasca, MN",Lasionycteris noctivagans,Lyssavirus rabies
OQ410152.1 ,"USA: La Plata, CO",Lasionycteris noctivagans,Lyssavirus rabies
OQ410153.1 ,"USA: Mesa, CO",Lasionycteris noctivagans,Lyssavirus rabies
MN418166.1 ,"USA: Altona, NY",Canis lupus familiaris,Lyssavirus rabies
MN233898.1 ,USA: Alaska,Vulpes vulpes,Lyssavirus rabies
MN233899.1 ,USA: Alaska,Vulpes lagopus,Lyssavirus rabies
MN233900.1 ,USA: Alaska,Vulpes lagopus,Lyssavirus rabies
MN233901.1 ,USA: Alaska,Vulpes vulpes,Lyssavirus rabies
MN233902.1 ,USA: Alaska,Vulpes lagopus,Lyssavirus rabies
MN233903.1 ,Canada: Manitoba,Vulpes vulpes,Lyssavirus rabies
MN233904.1 ,Canada: Manitoba,Vulpes vulpes,Lyssavirus rabies
MN233905.1 ,Canada: Manitoba,Canis lupus familiaris,Lyssavirus rabies
MN233906.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233907.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233908.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233910.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233911.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233913.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233914.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233915.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233916.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233917.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233918.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233920.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233921.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233922.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233923.1 ,Canada: Newfoundland and Labrador,Canis lupus familiaris,Lyssavirus rabies
MN233924.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233925.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233926.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233927.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233928.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233929.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233930.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233931.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233932.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233933.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233934.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233935.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233936.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233937.1 ,Canada: Newfoundland and Labrador,Canis,Lyssavirus rabies
MN233938.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233939.1 ,Canada: Newfoundland and Labrador,Canis lupus familiaris,Lyssavirus rabies
MN233940.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233941.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233942.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233943.1 ,Canada: Newfoundland and Labrador,Canis,Lyssavirus rabies
MN233944.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233945.1 ,Canada: Newfoundland and Labrador,Vulpes vulpes,Lyssavirus rabies
MN233946.1 ,Canada: Newfoundland and Labrador,Felis catus,Lyssavirus rabies
MN233947.1 ,Canada: Northern Territories,Ursus maritimus,Lyssavirus rabies
MN233948.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233949.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233950.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233951.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233952.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233953.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233954.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233955.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233956.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233957.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233958.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
MN233959.1 ,Canada: Northern Territories,Vulpes vulpes,Lyssavirus rabies
MN233960.1 ,Canada: Northern Territories,Vulpes lagopus,Lyssavirus rabies
