AccessionNumber,Species,Geo_location,Collection_date,Host
OP804520.1,West Nile virus,Poland,2022-10,Corvus cornix
OP734238.1,West Nile virus,Italy: Emilia Romagna,2022-08-10,Pica pica
OP734239.1,West Nile virus,Italy: Emilia Romagna,2022-08-10,Corvus cornix
OP734240.1,West Nile virus,Italy: Piemonte,2022-08-18,Culex pipiens
OP734241.1,West Nile virus,Italy: Piemonte,2022-08-25,Culex pipiens
OP734242.1,West Nile virus,Italy: Emilia Romagna,2022-08-31,Athene noctua
OP734243.1,West Nile virus,Italy: Emilia Romagna,2022-09-02,Culex pipiens
OP734244.1,West Nile virus,Italy: Veneto,2022-09-09,Passer domesticus
OP734262.1,West Nile virus,Italy: Veneto,2022-06-21,Culex pipiens
OP734263.1,West Nile virus,Italy: Veneto,2022-07-07,Culex pipiens
OP734264.1,West Nile virus,Italy: Veneto,2022-06-28,Pica pica
OP734265.1,West Nile virus,Italy: Veneto,2022-07-07,Phalacrocorax carbo
OP734266.1,West Nile virus,Italy: Emilia Romagna,2022-07-12,Culex pipiens
OP734267.1,West Nile virus,Italy: Emilia Romagna,2022-07-12,Culex pipiens
OP734268.1,West Nile virus,Italy: Veneto,2022-07-07,Culex pipiens
OP734269.1,West Nile virus,Italy: Veneto,2022-07-18,
OP734270.1,West Nile virus,Italy: Emilia Romagna,2022-07-19,Culex pipiens
OP734271.1,West Nile virus,Italy: Veneto,2022-07-13,Corvus cornix
OP734272.1,West Nile virus,Italy: Veneto,2022-07-04,Passer domesticus
OP734273.1,West Nile virus,Italy: Friuli Venezia Giulia,2022-07-21,Culex pipiens
OP734274.1,West Nile virus,Italy: Veneto,2022-07-14,Culex pipiens
OP422646.1,West Nile virus,Brazil,2017-03,Culex
OP345085.1,West Nile virus,Russia: Voronezh,2021,Culex pipiens
OP345086.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345087.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345088.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345089.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345090.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345091.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345092.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345093.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345094.1,West Nile virus,Russia: Volgograd,2021,Culex pipiens
OP345095.1,West Nile virus,Russia: Volgograd,2021,Culex modestus
OP345096.1,West Nile virus,Russia: Volgograd,2021,Culex modestus
OP345097.1,West Nile virus,Russia: Volgograd,2021,Hyalomma marginatum
OP345098.1,West Nile virus,Russia: Urupinsk,2021,Anopheles maculipennis
OP345099.1,West Nile virus,Russia: Rostov,2021,Corvus frugilegus
OP345100.1,West Nile virus,Russia: Dagestan,2021,Culex pipiens
OP345101.1,West Nile virus,Russia: Astrakhan,2021,Culex modestus
OP345102.1,West Nile virus,Russia: Volgograd,2020,Coloeus monedula
OP345103.1,West Nile virus,Russia: Volgograd,2020,Podiceps cristatus
OP345104.1,West Nile virus,Russia: Rostov,2020,Corvus frugilegus
OP345105.1,West Nile virus,Russia: Volgograd,2020,Culex pipiens
OP345106.1,West Nile virus,Russia: Volgograd,2020,Culex pipiens
OP345108.1,West Nile virus,Russia: Volgograd,2019,Culex pipiens
OQ326499.1,West Nile virus,Germany,2021-05-19,Trichoglossus moluccanus
ON813210.1,West Nile virus,Senegal: Barkedji region,2013,Culex neavei
ON813211.1,West Nile virus,Senegal: Barkedji region,2016,Culex poicilipes
ON813212.1,West Nile virus,Senegal: Barkedji region,2016,Culex neavei
ON813213.1,West Nile virus,Senegal: Barkedji region,2016,Culex bitaeniorhynchus
