,Country,City,lat,lon
0,Italy, Emilia Romagna,44.525696,11.039437
1,Italy, Emilia Romagna,44.525696,11.039437
2,Italy, Piemonte,45.060735,7.923549
3,Italy, Piemonte,45.060735,7.923549
4,Italy, Emilia Romagna,44.525696,11.039437
5,Italy, Emilia Romagna,44.525696,11.039437
6,Italy, Veneto,45.6476663,11.8665254
7,Italy, Veneto,45.6476663,11.8665254
8,Italy, Veneto,45.6476663,11.8665254
9,Italy, Veneto,45.6476663,11.8665254
10,Italy, Veneto,45.6476663,11.8665254
11,Italy, Emilia Romagna,44.525696,11.039437
12,Italy, Emilia Romagna,44.525696,11.039437
13,Italy, Veneto,45.6476663,11.8665254
14,Italy, Veneto,45.6476663,11.8665254
15,Italy, Emilia Romagna,44.525696,11.039437
16,Italy, Veneto,45.6476663,11.8665254
17,Italy, Veneto,45.6476663,11.8665254
18,Italy, Friuli Venezia Giulia,46.151042,13.055904
19,Italy, Veneto,45.6476663,11.8665254
20,Russia, Voronezh,51.6605982,39.2005858
21,Russia, Volgograd,48.7081906,44.5153353
22,Russia, Volgograd,48.7081906,44.5153353
23,Russia, Volgograd,48.7081906,44.5153353
24,Russia, Volgograd,48.7081906,44.5153353
25,Russia, Volgograd,48.7081906,44.5153353
26,Russia, Volgograd,48.7081906,44.5153353
27,Russia, Volgograd,48.7081906,44.5153353
28,Russia, Volgograd,48.7081906,44.5153353
29,Russia, Volgograd,48.7081906,44.5153353
30,Russia, Volgograd,48.7081906,44.5153353
31,Russia, Volgograd,48.7081906,44.5153353
32,Russia, Volgograd,48.7081906,44.5153353
33,Russia, Urupinsk,50.7970972,42.0051866
34,Russia, Rostov,47.2216548,39.7096061
35,Russia, Dagestan,43.0,47.0
36,Russia, Astrakhan,46.3498308,48.0326203
37,Russia, Volgograd,48.7081906,44.5153353
38,Russia, Volgograd,48.7081906,44.5153353
39,Russia, Rostov,47.2216548,39.7096061
40,Russia, Volgograd,48.7081906,44.5153353
41,Russia, Volgograd,48.7081906,44.5153353
42,Russia, Volgograd,48.7081906,44.5153353
43,Senegal, Barkedji region,16.467784,-14.1861373
44,Senegal, Barkedji region,16.467784,-14.1861373
45,Senegal, Barkedji region,16.467784,-14.1861373
46,Senegal, Barkedji region,16.467784,-14.1861373
47,Senegal, Barkedji region,16.467784,-14.1861373
48,Senegal, Barkedji region,16.467784,-14.1861373
49,Senegal, Barkedji region,16.467784,-14.1861373
50,Senegal, Thille Boubacar region,16.518221,-15.089955
51,Senegal, Thille Boubacar region,16.518221,-15.089955
52,Senegal, Barkedji region,16.467784,-14.1861373
53,Italy, Emilia-Romagna region,42.83333,12.83333
54,Italy, Emilia-Romagna region,42.83333,12.83333
55,Italy, Sardinia region,40.0615028,9.0975894
56,Italy, Piemonte region,45.8866456,10.8410769
57,Netherlands," Province of Utrecht, Haarzuilens",52.12167,4.99722
58,Netherlands," Province of Utrecht, Haarzuilens",52.12167,4.99722
59,Netherlands," Province of Utrecht, Haarzuilens",52.12167,4.99722
60,Netherlands," Province of Utrecht, Haarzuilens",52.12167,4.99722
61,Netherlands," Province of Utrecht, Vleuten",52.10583,5.01528
62,Italy, Piemonte region,45.8866456,10.8410769
63,Italy, Piemonte region,45.8866456,10.8410769
64,Italy, Piemonte region,45.8866456,10.8410769
65,Italy, Lombardi region,45.8771936,11.0585248
66,Italy, Emilia-Romagna region,42.83333,12.83333
67,Italy, Emilia-Romagna region,42.83333,12.83333
68,Italy, Sardegna region,37.5557319,14.288452
69,Italy, Emilia-Romagna region,42.83333,12.83333
70,Italy, Emilia-Romagna region,42.83333,12.83333
71,Italy, Umbria region,37.5513657,14.2917018
72,USA," Brandford,CT",41.66704,-72.66648
73,USA, Colorado,38.7251776,-105.607716
74,Serbia, Temerin,45.4096587,19.8901507
75,Serbia, Subotica,46.1002058,19.6653273
76,Serbia, Mali Idjos,45.7067012,19.666121
77,Serbia, Curug,45.4732331,20.0717969
78,Serbia, Belgrade,44.8178131,20.4568974
79,Serbia, Novi Sad,45.2551338,19.8451756
80,Serbia, Novi Sad,45.2551338,19.8451756
81,Serbia, Novi Becej,45.5952571,20.1343581
82,Serbia, Subotica,46.1002058,19.6653273
83,Serbia, Karavukovo,45.4976668,19.1960432
84,Serbia, Sombor,45.7727397,19.1147036
85,Serbia, Opovo,45.0487194,20.4331827
86,Serbia, Subotica,46.1002058,19.6653273
87,Spain," Lerida, Catalonia",41.6147605,0.6267842
88,Spain," Lerida, Catalonia",41.6147605,0.6267842
89,Spain," Tarragona, Catalonia",41.1172364,1.2546057
90,Spain," Tarragona, Catalonia",41.1172364,1.2546057
91,USA," Erie County, NY",42.7164263,-78.7620327
92,USA," Nassau County, NY",40.7352994,-73.5615778
93,USA," Erie County, NY",42.7164263,-78.7620327
94,Italy, Campania region,37.5527082,14.2881663
95,Spain," Manilva, Malaga",36.3769979,-5.2489786
96,Russia, Volgograd region,44.0529285,43.0674087
97,Russia, Volgograd region,44.0529285,43.0674087
98,Russia, Volgograd region,44.0529285,43.0674087
99,Russia, Volgograd region,44.0529285,43.0674087
100,Russia, Volgograd region,44.0529285,43.0674087
101,Russia, Volgograd region,44.0529285,43.0674087
102,USA, Washington DC,38.8950368,-77.0365427
103,Greece," Argolida, Peloponnesus",37.62334,22.41777
104,Greece," Argolida, Peloponnesus",37.62334,22.41777
105,USA, District of Columbia,38.8938474,-76.9880428
106,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
107,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
108,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
109,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
110,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
111,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
112,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
113,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
114,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
115,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
116,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
117,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
118,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
119,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
120,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
121,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
122,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
123,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
124,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
125,USA," Illinois, West Chicago suburbs",41.890865,-87.628037
126,USA," Lakeside,California",37.8038335,-122.2630807
127,USA," El_Cajon,California",32.7947731,-116.962526
128,USA," El_Cajon,California",32.7947731,-116.962526
129,USA," La_Jolla,California",32.8401623,-117.2740777
130,USA," San_Diego,California",32.7174202,-117.1627728
131,USA," Lakeside,California",37.8038335,-122.2630807
132,USA," Carlsbad,California",33.1580933,-117.3505966
133,USA," National_City,California",32.6781085,-117.0991967
134,USA," San_Diego,California",32.7174202,-117.1627728
135,USA," Chula_Vista,California",32.6400541,-117.0841955
136,USA," Ramona,California",33.035378,-116.8675132
137,USA," San_Diego,California",32.7174202,-117.1627728
138,USA," Poway,California",32.9628234,-117.035864
139,USA," San_Diego,California",32.7174202,-117.1627728
140,USA," San_Diego,California",32.7174202,-117.1627728
141,USA," Oceanside,California",33.1958696,-117.3794834
142,USA," El_Cajon,California",32.7947731,-116.962526
143,USA," Oceanside,California",33.1958696,-117.3794834
144,USA," Santee,California",32.8383828,-116.9739167
145,USA," San_Diego,California",32.7174202,-117.1627728
146,USA," San_Diego,California",32.7174202,-117.1627728
147,USA," Solana_Beach,California",32.9905597,-117.269131
148,USA," Lemon_Grove,California",32.7425516,-117.0314172
149,USA," San_Diego,California",32.7174202,-117.1627728
150,USA," San_Diego,California",32.7174202,-117.1627728
151,USA," Santee,California",32.8383828,-116.9739167
152,USA," Escondido,California",33.1216751,-117.0814849
