"","Accession_number","ED","edge.length","Species","Country","City","Host","Collection.date","lat","lon","extracted_precip","extracted_temp","sum_extracted_values","heterogeneity","Geo_location","num_occurrences","DR"
"1","MF197744.1",0.0914023713795619,0.00015500404012686,"Lyssavirus rabies","Poland"," Pomerania","Eptesicus serotinus","2014",54.6628751,17.0514497,84.6216828377016,1.35713845145318,54849,30507.0839160839,"Poland:  Pomerania",1,10.9406351816339
"2","MF197745.1",0.0914023713795619,0.00544155759871434,"Lyssavirus rabies","Poland"," Kuyavia-Pomerania","Eptesicus serotinus","1998-08",53.3220016,18.3392939,80.5511688053433,1.32838295142322,116686,30950.1464968153,"Poland:  Kuyavia-Pomerania",1,10.9406351816339
"3","JQ595376.1",0.124303921534845,0.15454638193616,"Lyssavirus rabies","USA"," Virginia","Lasiurus borealis","2005",37.1232245,-78.4927721,83.4313684682377,0.533888154993943,51811,30841.8745098039,"USA:  Virginia",1,8.04479848787133
"4","MF143320.2",0.00684959295041903,0.0141208649112406,"Lyssavirus rabies","USA"," Porter, Niagara, NY","Procyon lotor","21/09/2010",43.2535539,-78.9688918,16.8369750976562,0.369511604309082,83,47384,"USA:  Porter, Niagara, NY",1,145.994076909172
"5","MF143329.2",0.00487481197626426,0.0141208649112406,"Lyssavirus rabies","USA"," Amherst, Erie, NY","Procyon lotor","02/09/2011",42.9783924,-78.7997616,11.5761311848958,0.437960942586263,9,49036,"USA:  Amherst, Erie, NY",2,205.136117017243
"6","MF143328.2",0.00462068305955969,0.0444378671423677,"Lyssavirus rabies","USA"," Batavia City, Genesee, NY","Procyon lotor","19/08/2011",42.9918679,-78.1885163,10.0209350585938,0.468183994293213,175,42900,"USA:  Batavia City, Genesee, NY",1,216.418219365015
"7","MF143313.2",0.00462068305955969,0.124229379705032,"Lyssavirus rabies","USA"," Sherman, Chautauqua, NY","Procyon lotor","11/05/2010",42.159224,-79.595326,59.2755737304688,0.467350721359253,69,33509,"USA:  Sherman, Chautauqua, NY",1,216.418219365015
"8","MF143294.2",0.00489232884245464,0.00403962194907276,"Lyssavirus rabies","USA"," Ridgeway, Orleans, NY","Mephitidae","24/11/2003",43.266591,-78.3899,9.93062337239583,0.361516316731771,94,42977,"USA:  Ridgeway, Orleans, NY",1,204.401632065736
"9","MF143315.2",0.00516858465523356,0.000769144246626954,"Lyssavirus rabies","USA"," Orchard Parl, Erie, NY","Procyon lotor","02/06/2010",40.703478,-74.011476,66.474609375,0.593955039978027,15,43671,"USA:  Orchard Parl, Erie, NY",1,193.476564031399
"10","MF143297.2",0.00557339075641887,0.112254238261429,"Lyssavirus rabies","USA"," Middlebury, Wyoming, NY","Procyon lotor","06/02/2004",42.8265374,-78.1323009,24.318603515625,0.47797695795695,494,36006,"USA:  Middlebury, Wyoming, NY",1,179.423988681989
"11","MK540796.1",0.00520452365229215,0.000503681440337179,"Lyssavirus rabies","USA"," New York","Procyon lotor","2015",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,192.140542883225
"12","MF143325.2",0.00520452365229215,1.99614443810153e-05,"Lyssavirus rabies","USA"," Amherst, Erie, NY","Procyon lotor","26/04/2011",42.9783924,-78.7997616,11.5761311848958,0.437960942586263,9,49036,"USA:  Amherst, Erie, NY",2,192.140542883225
"13","MK540669.1",0.00300570849835261,3.03652740630215e-05,"Lyssavirus rabies","USA"," New York","Bos taurus","1990",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,332.700260370588
"14","MK540664.1",0.00300570849835261,2.79887240083373e-05,"Lyssavirus rabies","USA"," New York","Procyon lotor","1990",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,332.700260370588
"15","MF143318.2",0.00467400561437908,1.86986726802268e-05,"Lyssavirus rabies","USA"," Niagra, Niagara, NY","Procyon lotor","23/06/2014",43.0927387,-79.0609798,17.7708740234375,0.415414810180664,34,49110,"USA:  Niagra, Niagara, NY",1,213.949250921652
"16","MK540764.1",0.00460432469482821,0.00656567969243394,"Lyssavirus rabies","USA"," New York","Vulpes vulpes","2011",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,217.187115653083
"17","MK540779.1",0.00460432469482821,0.00020543719888921,"Lyssavirus rabies","USA"," New York","Procyon lotor","2011",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,217.187115653083
"18","MK540676.1",0.00419717727921939,0.000938011684215662,"Lyssavirus rabies","USA"," New York","Procyon lotor","1990",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,238.255363896848
