"","Accession_number","ED","edge.length","Species","Country","City","Host","Collection_date","lat","lon","sum_extracted_values","extracted_temp","extracted_precip","heterogeneity","Geo_location","num_occurrences","DR"
"1","OK573263.1",0.0642579372259333,0.542864710713281,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.119914054870605,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5622798236421
"2","OK573272.1",0.0642579372259333,1.52640305644894e-05,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.0395965576171875,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5622798236421
"3","OK573260.1",0.0641816594371009,1.49711983822385e-05,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.0395965576171875,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5807750807693
"4","OK573278.1",0.0641816594371009,0.00392833442873655,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.26571210256167,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5807750807693
"5","OK573277.1",0.064168785131176,0.00392833442873655,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.26571210256167,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5839010814334
"6","OK573262.1",0.0637647183813064,0.000167526776047193,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.0395965576171875,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6826537525047
"7","OK573269.1",0.0637647183813064,0.00377577885107159,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.372863427548223,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6826537525047
"8","OK573261.1",0.0640937590493045,0.00377577885107159,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,1.21871453006518,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6021430921339
"9","OK573279.1",0.0640937590493045,9.94390383407314e-05,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,-0.187965393066406,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6021430921339
"10","KJ831223.1",0.109270028425376,4.28017292988282e-05,"Orthoflavivirus nilense","Austria"," Lake Neusiedl","Uranotaenia unguiculata","2014-08-03T00:00:00Z",47.8007451,16.7368505,143496,0.0402126312255859,125.774804102231,35737.6688741722,"Austria:  Lake Neusiedl",1,9.15164033917068
"11","FJ159131.1",0.0560569987054274,0.00381632889004371,"Orthoflavivirus nilense","Russia"," Volgograd","Uranotaenia","2008-09-23T00:00:00Z",48.7081906,44.5153353,55771,0.227006276448568,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,17.8389857304862
"12","FJ159130.1",0.05439772555935,0.000808133499739282,"Orthoflavivirus nilense","Russia"," Volgograd","Uranotaenia","2008-09-23T00:00:00Z",48.7081906,44.5153353,55771,0.341720581054688,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,18.3831215315972
"13","FJ159129.1",0.05439772555935,0.00300819539030443,"Orthoflavivirus nilense","Russia"," Volgograd","Uranotaenia","2008-09-23T00:00:00Z",48.7081906,44.5153353,55771,0.7962864917792,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,18.3831215315972
"14","MN619802.1",0.0255701010836779,0.00300819539030443,"Orthoflavivirus nilense","Russia"," Volgograd region","Culex pipiens","2020-06-29T00:00:00Z",44.0529285,43.0674087,24863,-0.253408068599937,86.2441698802937,32850.7957746479,"Russia:  Volgograd region",10,39.1081754713253
